"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5"
"406",429,851,64,388,184
"407",166,37,361,891,586
"408",638,356,440,574,230
"409",716,588,75,935,598
"410",589,231,656,53,590
"411",527,462,513,261,249
"412",975,992,824,277,620
"413",832,50,437,797,355
"414",161,314,23,379,992
"415",362,858,110,801,386
"416",999,411,625,645,457
"417",108,767,867,331,700
"418",136,283,279,815,739
"419",934,233,528,4,452
"420",854,839,173,680,112
"421",307,596,426,540,497
"422",611,201,94,533,103
"423",167,240,463,547,151
"424",269,582,665,603,448
"425",192,404,325,208,934
"426",968,900,904,688,336
"427",349,583,429,879,486
"428",989,834,19,859,198
"429",394,289,316,845,142
"430",486,415,746,640,371
"431",79,728,937,429,669
"432",643,20,275,361,241
"433",251,562,793,907,754
"434",575,3,88,762,779
"435",357,876,806,129,578
"436",245,958,765,105,293
"437",91,288,914,146,32
"438",354,261,368,911,240
"439",402,492,264,995,89
"440",150,501,184,828,597
"441",648,473,577,166,493
"442",426,969,478,918,408
"443",472,532,679,969,224
"444",548,925,196,581,501
"445",815,379,877,512,951
"446",712,786,825,359,381
"447",372,943,733,570,116
"448",679,844,924,454,551
"449",366,49,37,303,517
"450",759,267,340,731,376
"451",15,522,897,516,513
"452",551,791,987,462,84
"453",382,335,1000,835,893
"454",100,771,162,218,120
"455",118,878,875,919,922
"456",880,74,779,638,218
"457",98,748,585,822,844
"458",230,337,644,152,337
"459",587,665,278,328,980
"460",867,309,761,39,791
"461",738,23,989,495,819
"462",600,993,631,637,894
"463",414,235,177,458,624
"464",378,799,209,950,323
"465",154,820,113,548,790
"466",21,312,425,901,820
"467",356,742,548,280,210
"468",693,287,854,783,561
"469",870,137,50,278,264
"470",960,552,691,26,305
"471",65,365,462,340,563
"472",793,671,49,436,787
"473",84,910,247,283,799
"474",209,489,71,445,298
"475",282,346,803,942,191
"476",110,104,60,682,478
"477",198,684,356,259,724
"478",71,442,642,934,639
"479",728,927,111,88,693
"480",856,678,762,955,816
"481",477,802,674,554,314
"482",610,908,471,126,207
"483",160,760,655,477,347
"484",829,243,8,827,356
"485",241,780,743,241,139
"486",310,39,615,441,256
"487",952,336,338,172,176
"488",780,269,895,800,878
"489",145,83,845,235,726
"490",771,790,613,723,605
"491",913,439,14,240,773
"492",275,892,667,227,753
"493",138,919,424,956,509
"494",165,631,782,508,961
"495",447,938,886,726,185
"496",197,886,901,642,238
"497",565,61,551,708,193
"498",361,108,619,819,521
"499",42,242,865,668,682
"500",767,579,783,914,656
"501",97,374,820,31,742
"502",791,60,798,460,892
"503",49,831,442,306,78
"504",974,375,47,874,515
"505",836,782,561,565,434
"506",578,244,171,757,206
"507",4,194,339,694,555
"508",284,147,509,954,512
"509",491,180,115,479,364
"510",655,555,496,908,71
"511",26,626,396,170,781
"512",615,8,17,33,414
"513",942,62,603,209,63
"514",41,865,975,396,19
"515",647,717,840,665,194
"516",988,129,706,325,326
"517",94,871,646,316,810
"518",963,345,333,662,64
"519",170,144,994,121,411
"520",734,806,643,712,944
"521",395,882,628,380,400
"522",305,329,45,751,423
"523",464,301,187,649,83
"524",312,928,145,428,245
"525",614,911,775,829,622
"526",400,846,647,999,354
"527",283,347,56,407,260
"528",513,877,379,671,460
"529",327,2,925,951,823
"530",590,585,541,796,104
"531",124,425,966,346,281
"532",731,518,417,335,358
"533",719,979,671,750,146
"534",918,881,6,543,717
"535",503,856,622,256,740
"536",683,177,660,681,632
"537",266,663,389,222,114
"538",562,679,138,439,637
"539",392,150,731,767,255
"540",476,138,916,713,715
"541",290,210,250,690,748
"542",403,91,826,514,181
"543",208,603,941,760,29
"544",901,174,409,903,213
"545",163,549,638,216,234
"546",228,105,483,192,756
"547",256,592,918,987,447
"548",321,488,441,22,855
"549",570,537,157,564,21
"550",149,506,342,494,838
"551",416,997,329,578,215
"552",345,983,32,353,462
"553",137,344,716,532,763
"554",808,43,120,73,313
"555",671,829,557,933,774
"556",35,95,5,932,389
"557",515,714,458,189,67
"558",645,238,652,928,817
"559",180,17,740,195,570
"560",694,661,964,838,252
"561",332,561,3,589,180
"562",259,140,908,498,272
"563",866,609,627,485,66
"564",749,850,749,420,360
"565",425,575,96,365,811
"566",558,117,454,187,306
"567",830,326,508,296,731
"568",504,45,704,11,745
"569",221,787,695,45,536
"570",199,621,277,630,458
"571",277,54,218,178,367
"572",612,200,343,551,789
"573",460,497,414,140,156
"574",725,12,788,594,728
"575",553,843,305,900,654
"576",529,989,447,978,141
"577",195,321,466,81,964
"578",317,358,89,503,485
"579",525,461,905,78,627
"580",649,698,161,9,887
"581",428,915,807,753,786
"582",944,795,853,92,815
"583",127,593,675,245,507
"584",569,398,327,425,755
"585",337,815,993,971,733
"586",964,167,732,410,558
"587",187,855,559,872,229
"588",555,803,66,211,520
"589",585,92,428,721,85
"590",651,212,758,545,216
"591",678,79,52,474,138
"592",770,380,872,17,81
"593",126,752,35,559,905
"594",190,350,180,733,712
"595",512,183,857,138,827
"596",633,957,822,387,939
"597",105,947,988,188,333
"598",618,847,360,501,866
"599",37,478,363,616,895
"600",696,109,998,748,117
"601",139,710,335,363,202
"602",67,788,890,634,504
"603",375,735,972,709,949
"604",634,299,974,544,531
"605",668,751,258,215,23
"606",763,499,992,219,908
"607",434,677,353,774,177
"608",957,450,718,772,413
"609",162,974,226,89,178
"610",457,655,485,416,166
"611",920,459,654,440,9
"612",757,971,67,51,982
"613",869,11,348,530,604
"614",876,153,154,710,527
"615",39,206,985,917,123
"616",896,440,172,128,348
"617",343,423,552,164,995
"618",810,754,756,364,609
"619",114,275,141,582,607
"620",318,293,595,355,710
"621",674,52,331,149,155
"622",132,673,569,898,945
"623",342,486,860,676,307
"624",758,444,847,312,967
"625",579,822,227,201,574
"626",44,564,635,158,385
"627",463,825,494,369,365
"628",450,606,677,236,909
"629",169,323,882,427,398
"630",718,386,367,20,199
"631",202,995,620,2,372
"632",670,557,871,656,538
"633",247,994,398,825,694
"634",489,487,587,314,203
"635",882,601,245,381,334
"636",853,166,515,585,962
"637",617,481,922,298,31
"638",264,171,269,250,219
"639",498,734,794,414,476
"640",928,295,151,841,159
"641",389,548,884,926,269
"642",443,18,815,724,978
"643",801,297,780,854,483
"644",52,597,816,720,802
"645",698,500,152,347,406
"646",254,857,948,144,674
"647",549,551,234,632,824
"648",419,410,468,522,872
"649",148,961,949,464,352
"650",538,893,844,799,309
"651",172,670,714,966,80
"652",717,535,219,766,291
"653",219,308,823,716,377
"654",860,536,663,148,383
"655",904,474,84,13,608
"656",875,739,445,113,571
"657",532,270,251,486,455
"658",653,434,705,482,582
"659",561,154,404,666,836
"660",721,168,864,238,325
"661",506,408,36,83,251
"662",383,507,126,644,133
"663",74,529,92,266,378
"664",621,430,670,502,122
"665",470,128,942,342,492
"666",744,215,4,213,443
"667",560,388,537,242,144
"668",874,580,923,382,242
"669",205,57,378,54,842
"670",842,794,54,511,188
"671",152,653,838,981,44
"672",753,891,734,968,714
"673",524,381,224,534,171
"674",727,197,957,686,576
"675",776,479,165,370,870
"676",580,106,777,376,699
"677",54,286,112,202,296
"678",432,514,244,230,691
"679",299,635,950,672,783
"680",894,720,545,233,363
"681",217,521,85,961,730
"682",408,604,868,844,695
"683",940,980,427,23,698
"684",427,692,435,102,239
"685",358,236,228,736,8
"686",556,332,738,626,49
"687",689,228,899,101,766
"688",509,342,969,106,502
"689",173,699,500,747,338
"690",379,664,476,284,514
"691",229,511,357,727,575
"692",700,547,512,804,795
"693",501,390,1,785,663
"694",121,923,811,679,822
"695",685,311,549,499,463
"696",572,955,687,856,722
"697",705,123,46,808,917
"698",539,475,558,718,704
"699",348,824,888,7,793
"700",471,455,295,985,911
"701",351,130,186,224,784
"702",390,448,565,450,579
"703",444,789,510,56,93
"704",421,682,990,583,988
"705",650,51,907,698,469
"706",485,82,167,866,271
"707",492,441,929,896,459
"708",706,422,252,927,503
"709",756,134,632,70,650
"710",879,282,979,737,942
"711",784,435,951,636,261
"712",313,173,947,967,613
"713",768,584,225,471,750
"714",623,703,640,341,747
"715",488,239,502,334,912
"716",665,396,260,413,843
"717",923,616,129,610,701
"718",478,618,497,654,743
"719",140,745,48,629,404
"720",676,377,747,198,679
"721",142,357,927,700,803
"722",899,278,29,625,983
"723",309,581,349,84,14
"724",859,731,102,687,453
"725",891,490,996,77,53
"726",406,382,728,180,595
"727",687,913,38,875,290
"728",873,641,621,330,651
"729",143,987,719,599,564
"730",872,936,955,389,757
"731",129,135,307,443,72
"732",547,279,692,307,606
"733",40,307,433,373,277
"734",227,225,633,611,775
"735",956,32,879,885,76
"736",796,909,900,352,957
"737",76,199,486,639,732
"738",214,805,315,473,324
"739",386,504,903,206,772
"740",907,98,934,924,100
"741",31,797,480,550,599
"742",695,304,401,262,618
"743",201,724,915,304,888
"744",967,328,931,576,703
"745",893,111,100,282,857
"746",943,676,127,697,254
"747",474,610,976,309,580
"748",344,84,208,641,671
"749",1,290,74,99,74
"750",664,725,207,308,868
"751",977,428,57,601,812
"752",855,103,358,449,481
"753",60,587,506,691,243
"754",777,65,122,826,587
"755",751,285,503,704,288
"756",445,59,39,549,670
"757",55,524,304,52,106
"758",675,599,859,945,991
"759",574,669,883,620,659
"760",932,868,507,531,468
"761",320,951,289,538,409
"762",739,706,516,830,179
"763",430,161,567,171,549
"764",315,785,133,864,932
"765",817,508,394,253,461
"766",370,968,787,517,727
"767",336,657,69,861,438
"768",661,600,25,587,331
"769",107,395,913,882,303
"770",921,668,337,357,523
"771",387,559,519,207,473
"772",510,726,601,520,98
"773",484,424,829,49,864
"774",499,265,83,269,113
"775",246,378,328,702,287
"776",851,480,253,98,522
"777",95,249,347,421,183
"778",181,533,170,525,938
"779",280,705,848,252,588
"780",971,625,850,865,494
"781",144,253,533,867,986
"782",322,707,98,944,34
"783",155,372,135,24,359
"784",14,978,852,412,212
"785",733,835,997,442,312
"786",816,306,13,521,319
"787",249,196,12,167,913
"788",526,25,618,905,867
"789",115,942,492,34,768
"790",779,721,711,134,519
"791",917,515,906,816,933
"792",663,809,983,732,209
"793",365,821,912,791,126
"794",639,762,709,843,27
"795",939,310,676,127,236
"796",862,953,87,451,70
"797",583,260,669,615,488
"798",983,990,255,107,675
"799",223,930,237,846,915
"800",949,686,991,755,407
"801",521,862,531,500,585
"802",662,540,727,289,169
"803",431,72,332,965,974
"804",979,577,450,356,121
"805",288,842,933,344,976
"806",231,903,128,97,487
"807",1000,634,119,404,152
"808",291,937,82,938,883
"809",821,854,144,655,839
"810",550,636,58,119,344
"811",175,188,391,839,247
"812",697,946,680,19,425
"813",523,628,456,689,315
"814",619,178,24,988,689
"815",300,972,591,214,553
"816",811,139,355,742,124
"817",70,967,159,652,999
"818",898,965,95,818,466
"819",353,899,715,409,997
"820",807,258,418,132,845
"821",681,640,298,609,276
"822",652,864,593,118,927
"823",772,26,423,378,396
"824",970,765,460,717,222
"825",786,658,532,515,342
"826",47,248,690,758,353
"827",709,694,397,651,958
"828",257,741,296,728,382
"829",347,633,712,699,61
"830",991,859,181,529,395
"831",559,948,156,884,168
"832",641,340,211,237,295
"833",335,598,581,395,69
"834",881,543,65,786,115
"835",775,644,524,729,830
"836",813,700,34,749,631
"837",204,890,51,624,926
"838",916,889,799,58,24
"839",926,595,185,44,368
"840",905,359,772,173,220
"841",707,654,664,275,801
"842",903,214,270,463,831
"843",368,387,682,586,776
"844",545,343,345,952,346
"845",609,526,202,734,516
"846",673,941,373,228,643
"847",773,392,146,447,427
"848",834,897,22,191,482
"849",405,246,341,91,545
"850",660,483,797,546,920
"851",494,649,697,759,928
"852",822,192,945,910,62
"853",516,985,737,472,807
"854",990,505,482,62,286
"855",691,1,686,343,58
"856",826,612,374,423,996
"857",496,755,413,623,778
"858",210,90,536,858,445
"859",764,219,432,162,109
"860",581,688,630,993,467
"861",666,370,575,887,20
"862",806,963,538,244,496
"863",680,811,168,161,769
"864",350,732,263,18,147
"865",985,801,334,248,975
"866",528,313,843,862,865
"867",713,818,891,569,428
"868",435,832,856,840,508
"869",131,268,179,42,557
"870",294,759,953,43,187
"871",436,362,70,339,833
"872",449,977,299,368,947
"873",596,954,936,740,429
"874",969,273,560,305,761
"875",933,414,831,730,38
"876",946,747,183,294,935
"877",171,883,150,977,796
"878",961,485,351,566,655
"879",841,40,178,115,28
"880",843,538,717,847,896
"881",720,528,55,104,948
"882",308,419,282,803,550
"883",423,78,767,63,902
"884",500,191,285,400,440
"885",505,617,645,869,130
"886",502,160,862,653,157
"887",433,234,792,257,68
"888",147,460,484,661,540
"889",519,324,130,850,950
"890",377,315,309,186,35
"891",360,457,784,279,317
"892",459,218,766,492,518
"893",265,998,262,424,526
"894",995,816,744,996,963
"895",702,901,464,476,853
"896",760,364,31,332,42
"897",954,509,602,674,875
"898",302,58,470,878,170
"899",281,929,407,76,341
"900",605,112,386,836,998
"901",174,64,78,577,805
"902",659,292,382,69,826
"903",314,666,830,199,294
"904",729,764,117,986,898
"905",845,247,231,142,581
"906",889,852,411,703,645
"907",439,746,735,556,708
"908",573,545,314,32,506
"909",188,257,774,738,861
"910",966,539,276,143,735
"911",240,502,546,921,966
"912",837,784,229,780,56
"913",399,738,147,327,559
"914",658,94,459,291,657
"915",684,623,781,536,5
"916",260,516,681,481,984
"917",99,176,475,175,471
"918",737,63,592,249,499
"919",732,351,791,64,993
"920",919,223,550,670,311
"921",272,769,836,572,736
"922",624,872,149,65,250
"923",96,902,371,459,30
"924",415,443,753,35,101
"925",542,184,800,367,273
"926",819,817,271,931,4
"927",373,716,346,60,660
"928",765,245,617,558,474
"929",225,416,415,434,129
"930",861,394,473,608,268
"931",255,349,518,475,940
"932",714,727,326,868,349
"933",657,964,195,168,128
"934",802,355,498,155,678
"935",452,793,136,913,760
"936",393,959,215,125,873
"937",396,185,63,781,537
"938",106,87,235,402,897
"939",45,659,723,390,484
"940",17,729,461,873,706
"941",703,512,935,535,649
"942",626,637,543,139,877
"943",708,277,623,194,161
"944",865,986,233,897,300
"945",871,291,302,948,684
"946",994,384,200,970,666
"947",258,554,33,55,565
"948",762,145,68,643,707
"949",233,695,802,539,874
"950",799,651,873,93,289
"951",601,566,986,247,762
"952",812,1000,980,991,777
"953",787,172,451,418,929
"954",743,397,876,989,858
"955",992,158,952,809,744
"956",723,325,814,957,107
"957",128,472,748,366,828
"958",930,715,699,488,859
"959",900,828,708,255,320
"960",781,736,612,27,36
"961",947,935,651,375,190
"962",554,68,574,95,612
"963",868,513,579,920,435
"964",627,863,403,761,304
"965",224,833,2,153,621
"966",469,44,556,592,835
"967",625,418,118,695,973
"968",878,426,455,229,18
"969",200,4,576,555,145
"970",248,373,540,575,849
"971",371,565,419,807,981
"972",536,520,116,719,12
"973",2,849,290,788,770
"974",895,830,578,600,914
"975",295,452,114,135,716
"976",557,976,870,528,851
"977",741,467,683,877,672
"978",417,409,599,889,375
"979",825,133,641,628,677
"980",906,451,474,744,794
"981",409,10,570,764,343
"982",938,737,281,883,800
"983",576,630,944,220,854
"984",724,476,400,468,94
"985",902,757,649,467,548
"986",77,366,658,226,433
"987",404,921,910,444,688
"988",448,341,390,484,635
"989",577,21,835,159,432
"990",998,99,438,752,767
"991",133,611,158,743,470
"992",839,89,978,258,640
"993",206,208,153,311,167
"994",530,761,76,591,374
"995",466,376,634,461,267
"996",704,400,132,182,601
"997",363,672,190,527,225
"998",467,810,182,793,47
"999",774,115,892,225,175
"1000",89,693,121,904,399
