"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5"
"1",571,232,412,964,39
"2",273,284,702,295,528
"3",48,949,103,489,746
"4",973,100,242,85,990
"5",588,798,778,437,153
"6",778,256,104,852,51
"7",334,193,422,239,925
"8",950,819,526,618,511
"9",185,674,921,72,718
"10",846,708,818,580,299
"11",412,712,257,745,634
"12",788,932,488,771,594
"13",51,912,698,925,979
"14",613,772,322,975,197
"15",745,773,917,137,259
"16",584,417,364,288,316
"17",11,498,527,422,709
"18",886,885,212,350,158
"19",222,944,517,683,680
"20",333,403,786,71,394
"21",12,46,678,725,454
"22",304,114,710,349,850
"23",339,77,310,123,310
"24",323,120,851,561,22
"25",543,622,808,14,533
"26",113,399,739,114,665
"27",80,264,525,351,96
"28",153,164,267,313,630
"29",726,572,286,673,75
"30",407,813,490,263,890
"31",982,770,869,777,16
"32",823,85,713,82,403
"33",27,841,770,707,419
"34",595,296,472,110,392
"35",130,940,584,813,163
"36",925,19,521,217,719
"37",646,907,243,614,562
"38",103,271,790,811,321
"39",220,6,885,322,226
"40",987,681,796,151,566
"41",213,229,221,254,814
"42",92,67,15,735,752
"43",910,568,855,478,205
"44",285,647,222,491,647
"45",56,427,849,588,541
"46",438,155,568,16,45
"47",831,926,833,300,446
"48",922,36,657,832,782
"49",324,156,754,154,955
"50",863,861,769,203,989
"51",6,149,742,374,919
"52",453,101,650,557,297
"53",30,639,254,301,308
"54",401,213,707,659,879
"55",642,697,928,108,456
"56",620,348,861,318,417
"57",33,126,555,579,195
"58",827,652,362,812,421
"59",50,69,261,658,335
"60",359,38,863,998,629
"61",46,702,140,145,856
"62",978,35,402,205,420
"63",278,880,465,853,110
"64",850,209,834,870,749
"65",677,203,489,824,402
"66",468,779,11,705,956
"67",164,195,588,795,619
"68",533,330,131,36,652
"69",10,42,750,487,92
"70",951,187,166,338,662
"71",686,675,586,41,809
"72",441,165,59,923,279
"73",59,189,668,103,885
"74",367,433,18,320,721
"75",216,391,995,271,525
"76",592,41,241,930,610
"77",369,354,598,61,351
"78",690,845,272,47,275
"79",117,484,542,947,390
"80",804,471,293,196,88
"81",75,182,752,880,231
"82",699,136,319,881,847
"83",236,22,72,806,97
"84",736,96,217,684,910
"85",522,962,880,268,43
"86",274,131,123,604,863
"87",632,638,7,432,41
"88",597,463,223,892,943
"89",380,33,505,493,292
"90",112,642,274,894,143
"91",66,991,30,714,232
"92",207,534,771,333,465
"93",43,804,821,834,265
"94",840,873,477,863,876
"95",179,519,809,401,125
"96",567,744,902,912,369
"97",168,853,80,109,59
"98",253,71,514,397,327
"99",211,81,672,860,685
"100",797,116,197,542,797
"101",629,613,759,272,350
"102",267,76,703,798,17
"103",81,29,981,848,285
"104",603,503,977,871,339
"105",955,591,939,190,837
"106",602,148,280,264,258
"107",286,432,726,789,813
"108",495,132,481,48,50
"109",22,696,661,80,127
"110",953,80,469,972,534
"111",116,113,600,470,330
"112",730,807,554,124,633
"113",29,412,201,273,148
"114",493,594,106,323,284
"115",330,272,288,524,723
"116",346,298,648,430,900
"117",437,190,971,605,362
"118",481,578,155,204,965
"119",534,683,430,345,379
"120",818,576,701,949,154
"121",824,589,287,5,918
"122",86,16,232,617,160
"123",458,493,757,855,544
"124",909,75,810,435,532
"125",586,496,21,669,237
"126",761,981,416,647,901
"127",111,826,318,270,591
"128",473,319,240,130,480
"129",88,627,544,87,623
"130",833,405,637,810,172
"131",119,300,773,251,10
"132",544,170,583,507,690
"133",630,898,61,814,825
"134",239,222,392,10,626
"135",61,906,344,510,301
"136",19,110,359,990,26
"137",78,667,330,794,906
"138",420,220,91,916,583
"139",384,470,148,692,771
"140",297,453,408,560,384
"141",9,553,41,973,318
"142",752,614,846,6,165
"143",104,687,236,497,412
"144",710,922,605,596,524
"145",892,262,724,457,248
"146",631,119,828,890,547
"147",123,118,124,354,573
"148",397,643,405,598,530
"149",809,950,594,541,280
"150",766,875,283,317,535
"151",13,406,164,1000,495
"152",268,276,982,46,436
"153",754,525,323,833,479
"154",479,34,297,685,6
"155",475,896,365,183,174
"156",798,495,366,210,729
"157",32,389,294,553,987
"158",885,175,203,38,954
"159",803,718,174,960,552
"160",487,837,420,28,543
"161",451,531,582,711,648
"162",795,691,566,627,135
"163",692,933,320,595,55
"164",57,608,192,958,871
"165",184,838,522,631,40
"166",552,360,736,979,416
"167",34,999,961,177,832
"168",945,221,220,899,437
"169",237,689,101,293,968
"170",440,701,689,431,439
"171",514,97,375,602,401
"172",864,352,273,715,881
"173",746,590,467,562,683
"174",701,198,725,120,91
"175",518,15,160,384,560
"176",828,181,684,324,785
"177",64,142,611,526,970
"178",462,939,28,274,596
"179",422,645,842,160,424
"180",146,602,609,136,192
"181",884,14,381,633,119
"182",857,407,909,362,556
"183",455,879,176,243,442
"184",564,546,479,452,952
"185",338,179,163,619,405
"186",352,558,206,466,430
"187",976,217,932,408,137
"188",782,750,230,67,713
"189",157,227,896,593,370
"190",454,361,210,941,758
"191",36,867,866,50,441
"192",446,569,268,823,328
"193",101,586,385,446,907
"194",63,121,795,25,638
"195",90,966,553,784,529
"196",606,743,789,963,332
"197",176,429,284,147,426
"198",897,632,607,851,572
"199",635,205,303,59,387
"200",911,316,248,571,329
"201",23,571,881,122,848
"202",715,73,499,276,941
"203",135,814,700,197,274
"204",331,781,760,821,834
"205",243,477,616,773,422
"206",93,466,444,754,257
"207",3,749,973,260,164
"208",593,252,898,371,111
"209",186,211,562,37,263
"210",959,685,77,165,2
"211",7,713,589,677,86
"212",109,383,406,857,65
"213",25,31,629,286,869
"214",507,866,256,567,969
"215",599,371,436,635,568
"216",442,523,504,79,780
"217",924,973,768,805,393
"218",628,102,889,163,711
"219",381,204,639,302,25
"220",927,401,421,792,625
"221",948,146,301,433,373
"222",374,302,377,915,676
"223",8,449,606,116,977
"224",835,454,308,267,818
"225",783,7,721,937,491
"226",785,353,246,776,211
"227",85,517,956,563,173
"228",890,840,785,212,667
"229",102,570,764,650,611
"230",385,836,431,456,880
"231",289,527,547,377,48
"232",887,494,693,763,741
"233",424,322,399,678,444
"234",418,66,946,297,235
"235",215,808,573,360,829
"236",483,870,959,940,472
"237",972,556,137,490,227
"238",62,437,213,817,77
"239",252,869,10,287,132
"240",563,723,741,782,283
"241",962,30,143,765,994
"242",122,730,805,606,60
"243",232,680,487,537,33
"244",742,163,191,392,15
"245",849,563,745,696,692
"246",888,207,813,285,410
"247",711,280,216,419,233
"248",287,28,324,326,705
"249",997,237,841,505,345
"250",319,491,776,403,600
"251",72,334,624,518,1
"252",848,916,523,290,262
"253",622,55,696,573,593
"254",303,934,350,156,959
"255",883,783,919,893,899
"256",965,914,501,939,99
"257",980,251,590,962,302
"258",566,305,90,193,891
"259",87,542,729,184,882
"260",915,753,380,496,270
"261",53,317,564,974,661
"262",735,456,81,393,451
"263",877,709,388,922,759
"264",912,775,321,74,475
"265",636,338,448,842,725
"266",568,510,720,96,228
"267",936,648,40,315,108
"268",189,778,439,321,418
"269",461,143,317,112,804
"270",517,629,193,837,696
"271",276,544,893,483,105
"272",688,774,434,391,985
"273",800,823,93,30,214
"274",937,369,313,590,923
"275",16,918,205,336,361
"276",270,202,452,994,931
"277",194,431,107,613,217
"278",986,241,73,179,860
"279",159,560,446,756,889
"280",531,574,662,75,936
"281",984,320,580,438,602
"282",511,224,139,221,340
"283",364,250,383,385,798
"284",38,27,97,465,658
"285",616,436,608,86,697
"286",244,47,142,415,52
"287",306,812,249,597,102
"288",541,982,387,310,7
"289",158,615,204,157,221
"290",722,420,539,394,751
"291",218,860,292,929,266
"292",292,169,819,94,90
"293",234,333,188,372,644
"294",141,5,443,90,464
"295",644,796,369,768,720
"296",805,186,493,584,37
"297",640,226,596,746,972
"298",540,125,265,876,737
"299",18,255,53,232,646
"300",598,884,763,329,134
"301",682,446,79,722,498
"302",177,894,457,406,636
"303",340,766,530,886,603
"304",398,917,970,141,11
"305",852,24,911,29,149
"306",58,151,372,358,510
"307",183,464,858,448,765
"308",789,984,938,169,388
"309",28,758,198,849,539
"310",301,254,874,200,477
"311",411,294,963,621,150
"312",497,281,520,946,808
"313",582,920,535,40,903
"314",226,393,954,831,54
"315",68,656,27,12,686
"316",838,662,958,57,223
"317",238,157,878,453,500
"318",262,318,673,693,136
"319",311,385,626,778,841
"320",993,970,393,509,46
"321",5,888,511,15,489
"322",740,996,125,231,87
"323",654,56,175,983,380
"324",482,768,336,411,681
"325",388,905,659,741,79
"326",755,874,730,607,95
"327",156,848,688,701,13
"328",535,48,920,622,960
"329",465,259,960,1,1000
"330",235,124,755,936,201
"331",325,895,312,706,569
"332",820,367,571,319,186
"333",608,263,42,469,884
"334",242,650,999,646,592
"335",594,777,614,405,806
"336",931,152,666,976,971
"337",69,53,943,21,946
"338",120,13,410,133,788
"339",193,402,43,909,3
"340",929,339,887,265,904
"341",203,127,804,787,450
"342",151,93,839,292,937
"343",546,413,962,399,792
"344",341,368,926,223,200
"345",996,605,266,185,589
"346",182,960,722,888,653
"347",24,363,930,770,577
"348",410,620,44,100,821
"349",814,530,827,612,628
"350",537,756,597,181,921
"351",20,465,99,568,204
"352",747,660,311,513,764
"353",293,541,495,386,614
"354",329,988,604,660,282
"355",750,619,376,997,244
"356",316,740,694,174,278
"357",490,956,306,769,616
"358",914,122,534,111,131
"359",328,722,449,455,664
"360",981,704,751,664,930
"361",73,792,395,234,449
"362",520,458,812,820,162
"363",196,230,984,504,642
"364",508,690,894,802,641
"365",480,931,832,150,73
"366",667,141,491,790,431
"367",178,573,300,281,673
"368",847,327,109,398,542
"369",355,303,837,675,916
"370",935,904,968,982,584
"371",82,800,62,66,702
"372",672,159,134,953,189
"373",607,733,105,176,738
"374",748,86,291,519,505
"375",456,468,940,523,391
"376",908,945,352,959,852
"377",134,162,194,68,196
"378",413,447,238,348,57
"379",279,719,20,895,862
"380",794,469,801,902,366
"381",376,107,108,8,322
"382",271,438,370,648,357
"383",212,445,239,3,118
"384",958,952,563,337,840
"385",591,711,16,506,546
"386",844,421,453,980,567
"387",669,266,817,383,687
"388",83,216,259,779,953
"389",263,624,169,775,846
"390",769,924,636,906,246
"391",191,646,610,943,554
"392",858,70,967,426,886
"393",261,763,384,117,253
"394",391,9,199,246,924
"395",296,827,653,739,668
"396",326,88,26,131,82
"397",656,975,86,667,615
"398",604,607,572,417,397
"399",637,567,354,299,415
"400",790,887,189,480,734
"401",792,331,685,657,182
"402",250,776,214,663,490
"403",941,550,965,552,617
"404",125,482,9,992,140
"405",298,274,529,984,208
