"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5","final_design.6","final_design.7","final_design.8"
"721",211,61,223,374,786,124,710,502
"722",112,39,190,425,742,776,212,850
"723",924,523,289,601,344,18,357,386
"724",826,319,916,45,372,210,664,298
"725",790,908,378,24,724,150,909,988
"726",587,202,225,444,435,313,49,477
"727",908,683,181,161,657,528,135,27
"728",893,467,458,416,220,688,28,444
"729",252,151,461,949,692,816,521,837
"730",907,652,889,683,113,123,2,845
"731",936,242,509,132,136,883,164,774
"732",312,369,268,109,436,326,383,829
"733",145,783,791,141,999,697,961,743
"734",229,665,880,203,260,623,303,321
"735",781,758,809,964,424,502,769,54
"736",520,713,442,481,610,258,285,597
"737",14,604,228,231,520,160,636,958
"738",664,162,686,546,809,667,474,451
"739",804,626,418,381,560,412,738,481
"740",941,889,945,11,246,499,420,974
"741",963,596,621,671,588,368,325,864
"742",336,336,12,777,72,12,197,15
"743",954,961,818,402,841,489,105,496
"744",614,337,233,64,634,662,641,863
"745",711,178,89,350,185,498,256,389
"746",672,310,741,373,663,428,439,552
"747",877,302,693,968,485,635,979,26
"748",675,320,332,60,141,576,132,68
"749",819,224,142,718,642,648,861,712
"750",886,111,31,925,323,553,27,137
"751",456,9,473,595,366,672,832,217
"752",13,371,785,724,844,347,318,714
"753",541,323,482,921,317,364,424,659
"754",609,192,261,474,286,441,224,178
"755",682,552,41,631,398,53,411,168
"756",744,399,257,654,662,261,275,530
"757",197,311,133,855,836,464,612,709
"758",113,550,427,162,830,565,672,182
"759",1000,368,324,86,982,132,536,902
"760",24,611,668,854,347,759,350,843
"761",573,594,173,599,506,879,911,215
"762",118,289,992,830,923,747,647,482
"763",911,412,392,827,788,814,931,725
"764",380,422,162,181,50,941,389,294
"765",55,203,607,243,730,652,950,71
"766",176,170,440,858,170,70,691,156
"767",105,754,331,255,762,165,187,438
"768",828,427,675,714,376,146,554,8
"769",857,280,634,383,789,127,220,108
"770",254,856,989,384,535,395,682,838
"771",897,578,855,488,903,994,139,459
"772",705,59,738,708,196,804,348,895
"773",592,391,62,935,562,142,834,86
"774",267,849,861,923,14,297,184,623
"775",555,519,575,853,778,81,445,17
"776",741,862,593,422,266,379,140,758
"777",869,187,746,185,502,13,332,814
"778",216,108,64,537,269,772,665,678
"779",153,597,260,735,221,991,90,945
"780",755,269,341,657,459,398,951,5
"781",146,695,16,449,641,135,915,205
"782",640,595,877,415,824,167,949,132
"783",949,915,614,743,486,157,416,674
"784",577,32,822,663,373,966,243,687
"785",966,215,301,849,85,722,579,497
"786",807,463,435,247,268,183,487,813
"787",925,898,967,586,168,927,477,96
"788",471,587,525,280,644,405,22,688
"789",685,983,692,282,357,754,38,577
"790",674,812,468,30,515,517,310,266
"791",624,795,145,361,406,548,465,538
"792",926,74,245,990,125,404,833,861
"793",389,513,747,95,390,977,219,977
"794",2,276,396,403,91,884,885,301
"795",890,672,480,701,53,243,962,510
"796",600,566,832,994,732,381,385,394
"797",569,946,58,606,978,482,119,446
"798",656,630,237,390,240,763,774,80
"799",124,821,422,983,523,702,86,492
"800",716,472,867,875,987,617,873,546
"801",194,534,248,434,5,827,875,402
"802",651,521,696,745,884,552,155,747
"803",131,841,722,59,905,288,165,826
"804",489,651,182,309,547,69,373,396
"805",887,248,563,765,951,385,60,911
"806",512,132,871,177,712,101,321,363
"807",829,741,88,630,962,561,968,508
"808",698,788,900,898,589,30,195,111
"809",528,981,581,770,251,469,735,935
"810",771,377,942,429,254,449,819,645
"811",158,83,730,922,782,164,877,959
"812",430,55,833,896,65,527,972,841
"813",103,355,970,700,621,868,340,130
"814",133,217,78,736,850,178,154,458
"815",969,326,885,535,831,363,44,45
"816",864,873,921,891,67,770,124,535
"817",888,804,37,645,881,41,764,142
"818",203,607,890,313,965,903,852,573
"819",467,947,920,296,18,218,718,41
"820",632,723,932,454,942,348,500,259
"821",96,180,340,17,950,666,5,705
"822",681,492,854,380,958,332,108,996
"823",667,222,662,523,616,95,809,213
"824",596,229,811,470,688,154,106,922
"825",935,145,644,748,293,911,863,32
"826",458,621,276,362,834,559,80,888
"827",442,975,367,110,423,794,95,89
"828",879,208,100,547,407,904,53,339
"829",610,525,776,955,537,296,799,570
"830",551,31,944,144,626,369,899,310
"831",132,73,610,26,505,256,466,612
"832",742,556,590,153,948,200,613,359
"833",326,441,234,902,802,94,355,474
"834",546,767,719,406,481,308,410,147
"835",718,951,238,814,7,571,892,571
"836",655,238,36,801,582,446,300,532
"837",41,675,122,526,468,393,872,753
"838",532,589,214,57,811,241,906,437
"839",378,830,110,942,720,459,16,379
"840",806,496,232,950,335,287,92,728
"841",506,763,697,376,83,859,583,278
"842",581,499,395,236,157,291,337,905
"843",824,774,413,572,792,532,35,686
"844",473,91,384,412,261,82,858,779
"845",972,569,45,1,71,289,745,588
"846",359,188,802,554,173,343,374,549
"847",706,344,399,539,711,487,981,898
"848",517,408,733,884,388,654,179,543
"849",764,721,166,275,205,664,980,311
"850",476,500,128,73,311,821,263,513
"851",784,204,602,401,912,34,657,218
"852",876,393,858,675,689,170,495,567
"853",86,273,60,189,89,725,112,913
"854",702,547,677,135,427,455,455,272
"855",109,464,551,901,611,875,715,739
"856",280,220,494,299,107,870,277,440
"857",832,20,779,365,121,158,1000,579
"858",844,475,131,548,617,434,173,197
"859",668,485,81,179,98,411,689,615
"860",709,761,796,168,47,365,91,842
"861",558,140,548,220,74,265,62,140
"862",789,246,566,536,259,601,709,380
"863",797,99,763,525,40,451,198,356
"864",607,70,342,730,473,151,572,357
"865",952,68,911,279,848,940,651,769
"866",272,575,386,201,915,66,276,948
"867",33,744,535,192,336,698,654,849
"868",515,335,496,335,405,168,736,28
"869",487,404,611,316,164,486,700,331
"870",732,840,540,77,767,333,345,35
"871",56,661,472,452,152,926,21,862
"872",448,169,853,710,977,148,398,808
"873",750,505,314,569,114,75,129,290
"874",920,616,754,155,751,867,78,637
"875",691,152,765,440,248,878,922,653
"876",753,537,910,859,331,335,534,704
"877",891,429,834,292,462,355,252,150
"878",898,306,547,407,27,795,717,940
"879",381,742,940,180,452,87,163,341
"880",852,120,908,690,925,524,283,522
"881",185,528,918,345,873,293,204,343
"882",282,826,140,638,862,713,193,284
"883",957,625,381,863,858,227,818,540
"884",196,158,904,667,460,255,942,317
"885",976,966,431,48,84,391,930,145
"886",93,542,102,642,367,607,562,452
"887",853,135,443,233,288,651,401,992
"888",679,476,113,711,628,931,480,626
"889",822,647,831,608,140,892,461,240
"890",292,930,903,226,714,191,134,875
"891",687,127,373,543,455,897,627,689
"892",623,171,226,495,33,952,329,584
"893",810,667,453,978,276,949,777,683
"894",735,301,280,212,57,116,292,129
"895",999,502,928,430,566,841,494,303
"896",593,610,428,382,184,962,431,557
"897",836,591,930,927,277,881,603,448
"898",248,417,618,414,861,409,458,786
"899",616,134,13,27,998,594,236,636
"900",970,762,246,395,395,731,274,815
"901",507,254,205,593,896,611,320,53
"902",775,362,640,795,504,189,719,781
"903",165,331,721,237,775,733,662,610
"904",993,82,492,184,868,535,646,354
"905",802,339,542,839,822,26,94,401
"906",710,554,322,707,805,440,582,59
"907",946,543,980,500,61,23,675,407
"908",578,174,943,879,717,204,600,790
"909",234,209,891,992,356,15,441,633
"910",838,256,349,681,854,546,354,277
"911",859,973,27,555,52,757,805,963
"912",680,7,557,227,318,253,761,469
"913",916,146,267,485,165,152,894,460
"914",25,766,313,63,685,442,844,614
"915",170,806,216,337,647,366,602,162
"916",766,993,405,214,909,711,889,620
"917",392,989,132,612,759,128,289,164
"918",195,16,711,871,846,360,269,29
"919",875,945,462,74,971,905,489,335
"920",617,924,454,832,829,432,755,872
"921",122,870,285,164,133,637,770,647
"922",314,906,751,561,916,882,419,893
"923",636,317,429,558,483,277,12,403
"924",604,916,868,515,39,578,903,231
"925",881,546,829,913,754,540,900,919
"926",491,905,79,240,12,971,616,738
"927",297,130,155,346,707,44,467,720
"928",851,585,337,813,174,473,714,625
"929",338,350,726,937,95,560,793,684
"930",325,779,915,796,894,169,621,968
"931",792,939,860,322,478,989,358,641
"932",951,697,65,997,192,105,59,521
"933",540,401,82,687,563,626,37,793
"934",480,66,119,230,666,513,591,281
"935",964,559,544,123,472,862,989,964
"936",273,47,266,695,966,736,610,930
"937",960,282,105,524,726,707,615,85
"938",340,428,243,467,888,680,695,327
"939",995,51,586,629,713,113,865,421
"940",779,33,846,323,214,62,628,57
"941",164,385,469,5,210,730,369,748
"942",986,700,479,419,392,951,620,547
"943",556,304,54,158,832,981,286,776
"944",717,287,200,866,378,815,375,322
"945",839,789,365,188,567,359,859,388
"946",817,228,700,471,201,609,484,851
"947",566,81,748,311,578,627,123,208
"948",404,576,297,673,249,778,496,110
"949",263,650,188,982,290,483,867,928
"950",666,644,144,924,949,35,887,585
"951",403,828,356,289,223,130,606,603
"952",767,602,409,740,202,281,393,209
"953",564,155,613,119,906,554,409,591
"954",899,433,192,567,760,390,514,604
"955",837,374,636,248,681,965,914,527
"956",393,352,336,257,876,828,365,673
"957",265,426,447,583,301,893,131,518
"958",46,923,39,305,256,955,214,749
"959",841,712,608,116,364,273,231,933
"960",842,361,604,905,303,356,133,243
"961",125,411,59,404,393,213,97,619
"962",111,167,684,246,115,386,545,55
"963",677,460,619,122,749,832,734,429
"964",27,483,345,941,497,509,288,52
"965",721,792,467,339,19,205,68,494
"966",151,581,511,960,937,263,481,299
"967",608,560,767,762,8,690,762,908
"968",663,584,786,222,351,659,558,22
"969",387,984,826,549,856,2,938,840
"970",932,636,612,691,394,465,891,288
"971",462,313,739,588,963,953,988,58
"972",527,392,878,117,280,415,693,699
"973",542,93,148,379,160,675,317,10
"974",629,553,501,68,541,136,125,831
"975",799,511,947,611,648,737,56,956
"976",961,387,448,438,490,417,282,309
"977",1,406,969,191,701,280,77,104
"978",454,845,839,455,721,729,597,64
"979",90,35,213,789,389,186,217,383
"980",867,747,259,574,438,102,846,91
"981",290,921,798,775,334,103,319,539
"982",199,419,222,906,469,272,857,146
"983",363,878,452,377,507,649,4,141
"984",947,634,159,512,931,305,449,121
"985",563,733,902,80,119,36,513,457
"986",200,100,307,190,654,492,312,651
"987",166,778,815,856,267,534,57,18
"988",818,877,793,204,800,117,469,174
"989",355,149,229,763,774,958,3,237
"990",193,790,570,52,791,850,307,306
"991",235,618,44,732,26,739,407,24
"992",808,838,628,176,154,585,926,202
"993",432,275,795,76,793,377,502,991
"994",816,620,269,278,56,494,625,834
"995",984,264,236,580,308,171,921,836
"996",598,833,249,294,649,10,551,692
"997",420,436,576,846,652,309,218,485
"998",865,624,531,785,997,525,426,138
"999",915,250,1000,239,426,259,881,744
"1000",205,309,620,614,238,176,55,200
