"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5","final_design.6","final_design.7","final_design.8"
"166",451,613,637,706,320,851,65,415
"167",904,97,212,462,601,975,690,978
"168",183,750,536,463,161,209,632,662
"169",357,506,287,802,658,257,451,847
"170",141,818,476,386,985,310,816,855
"171",447,787,86,753,299,400,759,270
"172",304,159,753,738,273,708,510,504
"173",605,726,15,829,284,352,10,980
"174",173,164,55,668,189,619,752,255
"175",333,998,497,565,321,228,178,697
"176",633,679,362,742,758,802,157,352
"177",360,674,47,342,319,575,798,985
"178",212,892,641,270,432,238,240,211
"179",830,793,277,666,513,818,244,74
"180",247,832,622,847,787,979,836,282
"181",780,432,866,101,572,479,213,859
"182",11,798,672,887,204,566,241,426
"183",866,125,293,385,704,848,845,701
"184",256,294,510,254,640,426,768,232
"185",795,711,810,800,110,980,540,762
"186",871,956,743,637,312,660,639,101
"187",846,40,282,886,543,340,747,344
"188",147,297,520,486,328,592,257,271
"189",449,671,758,148,86,315,88,561
"190",486,668,84,919,784,695,801,7
"191",715,629,982,545,315,166,201,890
"192",76,565,254,182,620,583,982,590
"193",967,824,883,200,35,587,476,607
"194",331,333,555,729,439,581,483,264
"195",225,799,432,704,669,21,696,832
"196",154,389,993,89,29,312,862,283
"197",868,562,682,320,49,339,829,234
"198",944,348,353,310,612,717,159,581
"199",688,139,524,809,702,290,688,191
"200",148,459,273,962,117,853,142,993
"201",29,471,707,489,360,790,765,124
"202",305,969,568,183,940,92,826,69
"203",169,2,960,794,992,49,51,899
"204",670,27,118,577,6,367,493,206
"205",565,740,495,620,579,245,116,56
"206",129,268,669,589,750,947,563,989
"207",902,608,50,205,178,89,941,305
"208",938,891,149,121,933,63,800,461
"209",10,648,32,609,247,324,661,629
"210",560,593,117,368,853,110,525,644
"211",477,959,736,312,882,71,258,476
"212",38,971,291,571,635,173,32,313
"213",510,813,937,563,145,742,804,500
"214",190,182,85,288,232,247,527,734
"215",302,567,478,939,162,670,176,250
"216",490,117,781,435,377,600,190,931
"217",673,834,288,857,577,885,948,972
"218",37,232,688,632,450,855,194,634
"219",396,645,549,34,675,615,584,867
"220",785,524,977,728,182,712,754,595
"221",493,356,284,782,536,531,530,221
"222",15,734,126,465,867,840,440,511
"223",843,84,888,98,512,710,965,38
"224",116,929,571,918,444,625,547,149
"225",690,719,966,578,349,237,302,366
"226",978,184,718,159,636,283,775,515
"227",152,846,111,719,94,477,624,473
"228",395,345,77,424,474,59,741,520
"229",443,558,20,550,122,184,342,665
"230",223,378,168,954,686,586,121,454
"231",848,353,3,194,147,346,464,483
"232",78,442,352,564,59,964,732,261
"233",533,376,146,967,112,452,453,436
"234",386,122,121,836,253,864,435,78
"235",606,631,778,198,285,929,958,721
"236",250,85,348,581,410,311,311,884
"237",230,36,615,833,128,956,555,608
"238",121,364,648,766,130,275,839,399
"239",645,731,67,590,30,768,384,254
"240",484,820,874,810,304,983,917,105
"241",979,454,790,623,101,573,249,680
"242",100,982,886,837,73,410,413,382
"243",599,185,433,530,975,849,590,671
"244",328,13,408,808,558,628,261,987
"245",306,1,25,104,755,888,884,139
"246",84,255,852,276,314,484,564,172
"247",757,381,770,298,860,207,916,81
"248",330,673,279,441,952,930,247,470
"249",905,219,824,13,604,928,427,423
"250",572,660,645,634,849,785,668,852
"251",260,372,239,723,124,783,907,733
"252",450,933,170,46,627,397,260,906
"253",601,904,599,649,99,48,436,332
"254",251,935,94,167,550,331,75,258
"255",786,822,329,862,964,316,333,439
"256",530,829,295,541,677,79,114,560
"257",463,855,638,963,237,593,460,730
"258",89,670,804,160,207,248,403,904
"259",770,738,737,2,618,755,402,486
"260",366,755,997,943,886,383,924,648
"261",277,60,925,397,619,650,98,745
"262",415,962,643,400,180,279,531,990
"263",611,972,474,936,659,986,396,308
"264",285,315,116,40,441,959,828,910
"265",737,199,957,883,753,467,254,676
"266",444,902,398,102,476,172,782,512
"267",186,859,83,150,748,19,888,941
"268",214,730,632,793,605,138,101,716
"269",275,452,705,219,369,462,341,731
"270",204,860,761,469,491,515,790,304
"271",754,786,578,725,546,831,637,582
"272",342,541,950,767,571,236,868,31
"273",727,211,837,938,532,196,71,260
"274",187,880,451,980,77,149,910,193
"275",671,686,847,136,530,126,837,708
"276",708,106,720,610,557,42,370,117
"277",180,940,338,784,403,780,457,51
"278",62,515,218,768,797,422,109,316
"279",348,876,247,721,820,497,346,984
"280",259,942,71,367,801,984,964,524
"281",823,512,579,272,969,715,674,166
"282",765,131,294,915,51,466,543,19
"283",294,690,893,616,783,501,638,400
"284",213,305,919,603,159,413,967,981
"285",437,349,215,643,263,753,298,962
"286",264,147,841,51,927,284,592,390
"287",989,67,760,931,287,76,406,203
"288",9,286,292,324,895,912,126,807
"289",215,888,704,677,66,663,850,812
"290",554,938,558,439,745,358,575,534
"291",231,954,256,533,370,719,973,176
"292",299,628,151,66,102,436,361,346
"293",994,664,235,607,556,470,414,791
"294",315,201,794,674,187,844,841,950
"295",639,819,828,186,961,990,273,951
"296",637,90,278,758,316,28,19,773
"297",219,263,742,277,984,68,148,381
"298",291,489,580,260,198,996,807,373
"299",973,195,873,108,258,54,115,228
"300",108,465,97,651,665,376,929,901
"301",22,914,434,494,129,341,327,95
"302",760,11,879,479,454,460,378,509
"303",900,960,23,771,569,219,462,887
"304",160,677,90,269,593,898,446,42
"305",854,643,709,518,97,973,96,48
"306",246,395,163,443,302,260,670,99
