"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5"
"1",1532,95,1035,409,388
"2",1826,419,1881,1192,1411
"3",343,1018,1669,761,846
"4",105,1502,999,1698,399
"5",436,160,1201,1994,1283
"6",519,115,1547,125,1629
"7",1275,135,841,14,1787
"8",1456,940,1361,1480,1689
"9",107,1152,914,1003,565
"10",1636,1125,1783,1449,464
"11",1371,951,504,12,1188
"12",1680,185,1840,1815,1924
"13",300,957,1872,1768,1888
"14",1020,712,1749,511,1451
"15",1851,717,1195,948,370
"16",1519,376,410,1385,463
"17",1994,1014,1131,786,533
"18",399,444,1715,969,1412
"19",80,754,396,1428,725
"20",473,1038,497,1621,1463
"21",513,1806,1628,344,771
"22",232,1418,1021,763,133
"23",832,752,929,195,1947
"24",1204,340,1450,681,1697
"25",1668,1751,1927,324,229
"26",2000,1746,1756,430,1535
"27",557,1202,756,298,1449
"28",1248,920,934,381,1402
"29",604,1515,1461,1373,227
"30",227,380,629,1045,1408
"31",1215,1550,20,1609,119
"32",268,1310,323,1777,608
"33",1080,1346,843,1411,1980
"34",31,1327,115,406,1755
"35",884,1731,1242,581,965
"36",1058,1701,151,1505,817
"37",156,1911,1264,1546,1184
"38",1852,1840,1089,377,1649
"39",116,832,817,569,1515
"40",387,1264,1199,1888,844
"41",1017,1966,794,875,1810
"42",1141,786,1873,1551,863
"43",698,1752,49,1528,692
"44",114,268,1711,1155,1325
"45",1222,727,1843,990,1065
"46",92,1830,1635,795,904
"47",1505,821,1047,1853,5
"48",472,516,259,1161,1161
"49",198,626,1731,748,568
"50",1716,1993,1241,523,1678
"51",269,1206,1155,646,1728
"52",1580,25,487,1641,1213
"53",809,1897,439,18,149
"54",1096,392,755,2,499
"55",1268,953,174,1298,307
"56",1518,291,1779,1198,1805
"57",366,1481,537,20,755
"58",27,385,1963,1971,922
"59",307,1186,955,788,1002
"60",1978,813,1662,583,192
"61",347,818,63,1306,1035
"62",638,475,408,1582,1886
"63",1682,109,664,1565,903
"64",491,1114,842,766,1256
"65",1151,1935,562,1549,1999
"66",432,773,1321,1879,1371
"67",380,1308,414,137,126
"68",112,1697,196,1171,109
"69",700,32,1898,1755,128
"70",361,508,1229,316,350
"71",1929,3,1984,1402,251
"72",891,515,133,977,577
"73",710,1405,575,847,891
"74",78,315,811,1934,992
"75",1595,987,169,527,1102
"76",277,1818,1937,620,1926
"77",1312,242,1240,1413,551
"78",748,65,1803,29,1715
"79",1977,958,1079,1415,1834
"80",723,553,1077,245,1743
"81",113,182,75,1406,604
"82",24,1605,154,1190,1669
"83",1963,1084,580,1474,279
"84",1508,1426,1997,734,1208
"85",1756,1450,1724,669,1896
"86",93,1815,670,1915,1753
"87",1190,450,1462,1803,1583
"88",19,523,1037,660,1971
"89",1078,214,645,1919,1358
"90",996,865,1980,930,397
"91",1576,1781,1862,1645,887
"92",150,1036,866,533,521
"93",18,1493,1565,1012,1808
"94",72,876,1041,597,1004
"95",1998,1351,1143,1360,1186
"96",1581,829,725,1323,548
"97",601,63,571,1836,1081
"98",1898,227,1719,238,804
"99",1317,1176,1393,291,269
"100",1291,1683,1196,71,1363
"101",1672,612,62,423,21
"102",1822,224,1519,454,1641
"103",1544,895,398,318,103
"104",6,1093,730,651,1046
"105",1111,1413,806,1238,860
"106",211,1033,164,1746,1145
"107",1052,695,457,111,1480
"108",59,823,593,494,257
"109",104,41,936,1148,447
"110",1945,177,1350,480,906
"111",1795,433,899,576,138
"112",1138,1394,406,1489,532
"113",160,356,1863,392,1036
"114",15,1343,290,1573,682
"115",907,1997,232,375,1
"116",228,1284,1364,992,473
"117",408,1195,243,1482,765
"118",390,90,777,1536,373
"119",1026,1168,1312,1748,344
"120",618,141,1122,1932,821
"121",674,447,240,118,527
"122",16,990,624,1371,1124
"123",1619,1943,1184,270,1054
"124",281,1078,450,800,26
"125",1126,1853,128,345,1503
"126",117,1829,299,1904,1258
"127",1233,1032,1068,290,634
"128",1102,1948,864,1693,1239
"129",880,1274,700,739,29
"130",1431,572,1495,509,671
"131",1375,1812,1415,765,1638
"132",148,1379,1071,1340,1555
"133",1739,510,1401,497,1747
"134",69,283,308,854,1956
"135",767,1669,1876,1081,1554
"136",95,984,1897,926,639
"137",223,1813,1120,296,582
"138",350,1580,282,198,572
"139",1918,210,783,1239,1633
"140",738,1034,1784,1503,1156
"141",1786,1045,599,1779,802
"142",1179,1010,437,915,1419
"143",1870,517,551,373,313
"144",742,13,365,85,896
"145",1746,1156,267,485,815
"146",124,1744,1832,1408,1089
