"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5"
"147",1014,614,1771,918,1162
"148",251,1130,1905,845,622
"149",1061,898,1553,855,498
"150",479,1239,395,1201,264
"151",1640,1967,1076,1203,39
"152",724,1015,1403,1459,1646
"153",1602,1404,865,478,1364
"154",147,747,440,17,469
"155",1914,1108,1119,463,1137
"156",1451,351,908,1722,739
"157",736,1758,960,1269,328
"158",838,78,1353,1342,1586
"159",1389,1285,1925,36,1232
"160",1579,1648,1479,1326,1434
"161",1290,1403,1887,1772,1950
"162",1390,35,1146,340,1218
"163",1251,863,912,1426,594
"164",1594,1600,610,1631,475
"165",1768,1288,668,1990,389
"166",474,1069,1566,1370,924
"167",469,594,1989,379,1506
"168",1370,1054,1700,1091,724
"169",1509,1427,1356,5,1497
"170",733,1901,1950,1665,472
"171",1469,483,1274,663,1317
"172",1191,1865,1049,525,619
"173",1752,1962,397,1484,1356
"174",159,1817,1182,1871,433
"175",1896,1591,1509,528,110
"176",1306,453,876,1455,1431
"177",134,1899,947,908,744
"178",11,343,1853,1089,66
"179",1245,1564,1052,203,812
"180",697,1660,1022,1429,1242
"181",1459,26,927,1064,152
"182",49,1615,567,161,1144
"183",857,463,1406,668,876
"184",140,29,268,469,9
"185",642,971,1336,957,1307
"186",83,1860,963,695,184
"187",1674,1893,1524,1501,147
"188",370,1263,710,971,99
"189",967,339,233,1311,1337
"190",1130,743,1355,361,1086
"191",1833,556,727,628,576
"192",806,995,1005,886,939
"193",1413,1182,1040,1580,968
"194",252,102,38,1280,1613
"195",931,1536,729,1282,239
"196",1380,1106,1643,852,1716
"197",234,1602,112,589,949
"198",619,15,1409,114,502
"199",1513,1127,649,890,1538
"200",750,1664,107,1425,1068
"201",1247,88,1954,1096,567
"202",129,1120,925,242,877
"203",1472,1042,1305,467,1914
"204",191,274,931,1383,994
"205",1604,1627,1391,1712,17
"206",562,1197,1133,84,43
"207",1813,499,652,1977,23
"208",119,1052,35,378,675
"209",169,251,1459,70,1425
"210",1442,1780,859,1559,266
"211",1169,1107,96,1254,143
"212",717,1523,98,68,706
"213",443,1391,313,1212,1889
"214",48,550,1317,1285,1100
"215",1536,205,1541,1442,944
"216",1554,891,1395,1577,1447
"217",1654,206,415,292,998
"218",258,661,1575,1842,1511
"219",670,436,1183,774,1473
"220",1016,1296,353,1279,542
"221",20,80,216,1579,921
"222",433,925,10,88,914
"223",1954,1955,573,964,1080
"224",942,1739,134,1357,1406
"225",526,1737,1867,997,1405
"226",100,848,1112,1974,911
"227",32,1954,1211,108,958
"228",240,1363,417,1328,1524
"229",758,350,784,1555,1185
"230",222,1712,1622,1593,1295
"231",110,1361,1293,927,1227
"232",544,1232,1369,363,912
"233",647,1613,428,289,1436
"234",1134,1508,1738,962,907
"235",1724,1671,90,1088,1061
"236",168,1298,139,268,777
"237",23,159,1775,339,517
"238",535,295,23,287,885
"239",1862,1151,719,1610,732
"240",305,1170,1758,1701,562
"241",345,520,787,691,1778
"242",1279,640,1334,588,927
"243",1913,1794,389,914,1873
"244",43,715,1427,437,35
"245",1791,1407,1651,25,564
"246",282,1086,658,1961,1165
"247",763,1905,489,730,1667
"248",459,734,1338,1736,699
"249",1935,438,1418,1750,1746
"250",1335,853,1718,1272,1607
"251",1520,1000,1412,1993,1544
"252",887,1597,1787,1728,1469
"253",58,1503,673,246,1332
"254",371,708,590,1315,1766
"255",1922,596,1964,1487,857
"256",453,1756,1023,1686,1392
"257",118,599,403,769,773
"258",1120,1013,1483,1352,1531
"259",406,1260,1766,634,1550
"260",1496,682,321,1151,1096
"261",1606,1850,618,736,1949
"262",278,1520,1794,970,428
"263",1808,462,1065,1009,761
"264",1263,461,18,606,1179
"265",1738,131,292,1176,1266
"266",434,1103,905,1813,387
"267",1493,197,140,1557,1230
"268",678,615,744,1739,476
"269",979,961,1276,407,3
"270",1276,1091,1378,1817,681
"271",1984,636,913,807,954
"272",1174,260,1697,1017,729
"273",1888,1237,541,51,1953
"274",53,173,421,96,1212
"275",1660,722,1501,205,151
"276",910,188,1761,385,854
"277",1437,1248,1502,1391,825
"278",428,322,1793,1262,1656
"279",1225,1782,1560,447,60
"280",987,864,632,1566,1375
"281",1844,104,374,62,434
"282",511,44,463,882,835
"283",1889,368,1559,1530,1059
"284",341,1933,631,78,1582
"285",1460,241,1062,449,1074
"286",257,1295,272,223,1178
"287",1855,236,215,828,1092
"288",1620,193,1449,15,738
"289",398,165,569,1215,990
"290",237,967,1548,183,1851
"291",768,1445,411,1800,866
"292",36,378,1577,713,215
"293",850,111,379,1714,1733
"294",123,1599,1868,1742,87
"295",1653,1354,1441,872,1781
"296",934,929,1027,556,759
"297",1155,1762,1821,1985,1207
"298",138,1713,693,1499,169
"299",1429,513,1968,868,1174
"300",1722,300,1011,1287,302
"301",1957,1325,1045,258,861
"302",1109,114,731,1535,1752
"303",1831,1383,161,1216,457
"304",165,357,1926,835,1724
"305",1293,506,305,1921,1558
"306",1034,962,1723,303,1381
"307",1691,1494,1218,1422,164
"308",1059,586,1257,723,524
"309",1718,668,602,591,1631
"310",815,570,574,856,1848
"311",947,175,696,1497,1726
"312",4,1721,1082,599,1838
"313",17,530,1582,796,1600
"314",236,187,443,699,647
"315",1294,1727,844,791,1481
"316",378,1903,1379,153,1090
"317",1647,650,897,1030,1294
"318",706,1131,162,1980,1315
"319",766,255,316,895,745
"320",1708,1928,820,1418,856
"321",538,474,319,967,1527
"322",253,1825,50,987,1541
"323",1115,1155,1252,702,1478
"324",643,1452,1058,911,558
"325",358,204,1996,1989,487
"326",377,1582,1329,1172,1618
"327",830,1764,1359,508,1575
"328",154,1143,538,1671,1087
"329",430,1703,803,123,1484
"330",340,837,1123,1156,660
"331",485,1847,413,1959,453
"332",217,481,1298,822,898
"333",1051,1872,1914,277,1361
"334",1028,1384,1698,1578,10
"335",1811,1687,1750,1457,32
"336",122,1231,1217,79,54
"337",567,709,950,1508,1146
"338",1566,86,425,1867,97
"339",1904,265,1311,1217,935
"340",1974,1595,8,1658,1150
"341",422,1199,1810,537,1932
"342",71,10,1272,1387,555
"343",1125,1482,543,820,1698
"344",1084,874,1903,1496,1995
"345",136,1187,201,546,1699
"346",167,1385,1910,1065,901
"347",1035,555,473,1301,50
"348",274,1572,203,1375,129
"349",1361,288,834,524,783
"350",510,1147,1612,1068,1760
"351",1284,1846,28,122,208
"352",547,591,1677,52,800
"353",1235,76,748,236,111
"354",1176,711,260,1997,691
"355",1101,1647,1637,1869,1264
"356",686,1008,187,1544,511
"357",1447,167,1174,1345,95
"358",1711,2,550,143,1440
"359",828,1827,1709,1140,789
"360",1207,1810,1138,829,1268
"361",745,686,1194,671,669
"362",450,27,1522,1199,588
"363",289,799,388,1649,1006
"364",1623,590,372,348,497
"365",1338,89,1507,369,1320
"366",1701,576,1152,1193,1606
"367",1153,1002,779,330,18
"368",249,1634,1280,570,742
"369",417,425,1741,482,260
"370",1534,893,1610,998,1201
"371",1434,692,1235,566,1922
"372",90,1414,1494,33,1505
"373",1714,1767,146,1763,584
"374",1018,1226,190,240,715
"375",1621,935,1918,780,1878
"376",1717,783,1737,1770,1020
"377",316,1645,1765,243,159
"378",265,1541,1574,349,1154
"379",96,1099,1550,1441,242
"380",254,1834,1434,384,140
"381",770,808,1647,157,61
"382",548,365,477,1771,343
"383",1067,1552,37,185,166
"384",1241,1694,971,1525,1664
"385",1304,1163,1772,1090,45
"386",317,539,171,252,559
"387",1843,1685,1127,1093,770
"388",1740,918,366,1944,962
"389",1709,203,1189,1949,1842
"390",401,1055,1972,1672,1195
"391",1521,870,1945,329,986
"392",181,465,1620,352,1693
"393",157,1743,1094,450,796
"394",1063,741,1425,1047,262
"395",1353,1064,1824,676,1666
"396",101,1184,1770,1986,345
"397",600,1987,1332,216,326
"398",1892,659,1327,1881,971
"399",1055,1763,402,1469,1602
"400",374,1150,1335,244,1788
"401",487,1740,1732,104,1182
"402",945,428,734,1288,1069
"403",61,223,505,1872,864
"404",1778,1882,1753,1010,1030
"405",989,1856,1100,1792,1111
"406",196,121,56,1624,273
"407",999,628,973,1380,1488
"408",536,1339,940,1630,268
"409",1993,580,1649,1218,432
"410",1320,1722,952,380,1707
"411",276,1916,724,391,644
"412",247,1937,1754,745,384
"413",372,937,1513,342,304
"414",1457,1323,1337,809,683
"415",1561,1478,1202,1679,322
"416",478,1998,1036,1483,37
"417",667,1691,296,749,1070
"418",425,155,179,955,1776
"419",1600,308,178,1242,1422
"420",354,1461,1623,1758,1353
"421",718,1868,1075,867,72
"422",941,1340,1656,1100,1977
"423",99,1474,1051,1050,967
"424",452,1483,1973,1252,774
"425",1160,257,269,636,1815
"426",45,780,986,984,1579
"427",208,1623,1456,1598,820
"428",416,1446,144,188,1835
"429",915,548,77,1757,1151
"430",762,1479,1454,448,1214
"431",1693,117,556,1208,563
"432",1517,2000,988,1200,1300
"433",1182,488,498,338,1135
"434",51,1205,100,925,259
"435",734,1819,452,1102,355
"436",319,1938,1484,980,1180
"437",1713,665,1682,1154,972
"438",1486,1355,1729,1572,606
"439",1659,1058,156,1032,379
"440",1784,1709,1400,1354,258
"441",1085,358,1351,1086,1026
"442",721,1388,786,306,948
"443",388,1557,513,1084,672
"444",403,1729,1429,231,15
"445",1119,1246,1475,1210,897
"446",550,1732,1171,922,1903
"447",1152,796,941,471,581
"448",385,1076,1951,1901,1691
"449",1453,1349,746,1741,358
"450",1951,873,1267,1972,1661
"451",1757,1828,345,621,441
"452",424,1118,1485,956,873
"453",1503,142,1530,1912,740
"454",440,1958,36,803,354
"455",1841,1021,558,1341,93
"456",810,235,1788,92,553
"457",1762,1149,961,313,513
"458",26,1839,861,459,317
"459",1849,1537,1932,892,1931
"460",1766,1019,27,1475,1285
"461",1340,547,621,1039,1491
"462",66,1440,862,1947,13
"463",1476,1270,447,336,1547
"464",1194,1164,465,74,201
"465",1631,1618,531,808,1277
"466",730,21,1650,248,868
"467",1127,293,712,218,673
"468",108,1655,1734,11,1996
"469",1886,573,1860,1514,1955
"470",1919,1569,692,986,1045
"471",966,1423,460,1394,190
"472",816,427,774,1416,1623
"473",584,429,1646,1797,758
"474",375,1611,1250,1353,1592
"475",1941,849,1871,823,136
"476",470,446,137,1472,941
"477",997,1755,1384,148,643
"478",215,1530,1763,1504,1938
"479",1232,430,1465,647,984
"480",923,666,1423,424,1284
"481",1171,1725,252,1721,926
"482",13,835,102,1831,712
"483",926,1194,1500,213,474
"484",441,1335,1632,1160,191
"485",1927,342,799,1592,516
"486",1218,1428,1342,1005,67
"487",1234,34,1814,571,1261
"488",368,1092,1413,512,882
"489",57,1978,1809,1372,1975
"490",1804,1728,1949,1333,1659
"491",54,1468,1463,725,1394
"492",306,938,1015,1533,127
"493",1363,464,545,1498,575
"494",465,1890,584,574,385
"495",1558,1067,516,6,598
"496",314,1486,59,587,221
"497",894,1643,902,314,727
"498",497,646,553,1085,1327
"499",1485,1876,1563,473,1149
"500",855,1867,152,341,1923
"501",1787,484,385,1393,1085
"502",73,1995,351,664,1155
"503",695,1077,1357,484,436
"504",1950,527,93,1545,163
"505",1959,1771,330,1718,31
"506",301,1222,19,1013,81
"507",1230,266,182,896,107
"508",33,1429,1923,1652,1472
"509",21,992,836,99,623
"510",444,1639,464,1348,368
"511",1721,791,570,1837,1487
"512",200,1855,663,714,1387
"513",1027,303,451,414,1534
"514",410,878,461,991,919
"515",1351,1203,707,1924,722
"516",1663,1845,938,1594,411
"517",747,505,332,1150,496
"518",613,1979,254,1246,1415
"519",1315,366,1394,279,1401
"520",1502,1532,1679,400,240
"521",1638,828,1818,708,1489
"522",924,1159,1567,704,1055
"523",1069,134,1705,1398,1514
"524",1329,127,1130,764,1365
"525",1727,1656,234,1965,1634
"526",1890,694,494,1688,183
"527",1539,587,448,1785,263
"528",437,458,837,609,82
"529",164,769,1546,1477,769
"530",1195,423,1223,1829,528
"531",1309,922,333,126,489
"532",304,410,1341,1916,1108
"533",311,1878,1144,532,1798
"534",582,1490,1861,333,68
"535",1961,671,926,1128,1589
"536",356,264,1086,520,1338
"537",1387,178,943,1667,1507
"538",192,1760,1306,1818,189
"539",1322,975,565,831,51
"540",523,99,1911,517,1976
"541",1952,624,432,1868,676
"542",286,663,483,974,1772
"543",826,812,1371,1730,1252
"544",481,1768,1297,1104,520
"545",1500,1653,807,631,1820
"546",326,1420,1492,578,505
"547",793,1313,1543,1835,154
"548",8,1942,1178,1317,805
"549",1704,1435,1579,567,347
"550",818,1524,1239,1767,794
"551",1355,1772,816,750,1016
"552",764,1707,1987,131,1517
"553",1642,381,66,458,938
"554",190,855,1486,1019,609
"555",694,1357,1558,1943,1713
"556",580,914,623,1177,155
"557",411,1785,885,1018,1942
"558",62,103,1101,351,858
"559",1720,145,1943,48,92
"560",360,1959,694,1689,1581
"561",1723,1770,942,495,1509
"562",488,85,188,1798,1384
"563",1590,323,1634,562,1237
"564",1923,1419,39,1639,747
"565",1703,128,1653,1982,830
"566",608,578,1263,1720,1826
"567",1643,934,634,1816,1959
"568",1648,1733,825,59,703
"569",352,1738,307,1451,413
"570",285,1003,1245,1024,793
"571",735,196,1059,1471,367
"572",214,59,1253,288,480
"573",508,1442,1050,438,407
"574",495,739,690,1907,1536
"575",849,239,1249,1207,277
"576",1763,1977,1913,1575,508
"577",711,1793,1069,1255,1731
"578",754,171,1443,912,1389
"579",199,654,378,857,836
"580",1495,551,1757,60,1393
"581",1818,273,1815,632,235
"582",1705,1262,458,387,1011
"583",789,1535,845,601,422
"584",224,755,1097,1099,1380
"585",1884,861,1343,534,1475
"586",1188,1402,132,1058,1169
"587",1410,1517,445,951,601
"588",1656,443,223,1188,231
"589",870,997,1639,812,573
"590",530,1841,1556,1969,1410
"591",1858,1200,1140,192,430
"592",917,1918,1043,101,1420
"593",1274,528,1168,931,613
"594",1440,408,326,179,766
"595",1318,839,471,516,899
"596",212,566,681,677,1192
"597",1803,1506,1678,1563,1569
"598",1702,406,143,1054,1940
"599",1630,387,1474,1515,76
"600",585,1498,1277,1927,1966
"601",1613,1914,742,968,1461
"602",1321,1884,54,259,1418
"603",727,1430,236,283,689
"604",1012,745,726,1602,985
"605",1192,660,655,1761,467
"606",588,1540,821,840,295
"607",805,1128,752,1196,1329
"608",1859,969,57,515,1758
"609",1267,936,1480,696,471
"610",259,514,194,420,823
"611",783,230,1141,995,172
"612",1173,886,802,481,1567
"613",220,964,343,1554,351
"614",344,827,1879,282,395
"615",1733,1297,436,717,916
"616",1614,1589,1707,199,1735
"617",376,327,1149,1403,282
"618",932,319,594,175,1673
"619",1093,1090,130,806,1909
"620",1531,1761,1106,1454,500
"621",1677,504,1028,1145,750
"622",456,789,199,1640,593
"623",1809,723,1538,300,788
"624",1696,1500,1906,1810,1483
"625",1362,1105,26,1092,1927
"626",1535,1122,1885,319,1738
"627",392,259,1889,304,1708
"628",1462,1509,24,935,1286
"629",992,1459,1891,592,1448
"630",514,867,1284,1710,947
"631",1039,113,529,1066,256
"632",1007,1487,360,832,1574
"633",204,819,1929,1998,1786
"634",1187,1927,104,649,1452
"635",1687,92,1254,26,1754
"636",158,928,1164,758,1612
"637",102,649,1933,901,1433
"638",846,725,721,113,1304
"639",1465,1981,1817,1863,1426
"640",1428,775,1470,1170,116
"641",1679,1389,1645,1562,1920
"642",896,329,1247,1946,753
"643",1632,1267,1728,1138,743
"644",1224,1317,1752,8,832
"645",1837,1171,953,1229,1785
"646",1774,253,780,1097,1468
"647",797,77,17,711,1789
"648",692,589,1200,1098,1205
"649",1270,1824,348,266,1711
"650",427,1153,1839,1567,437
"651",984,211,43,1182,416
"652",184,644,1167,1248,59
"653",103,460,609,1569,1662
"654",245,1684,1716,1849,631
"655",1569,1046,1894,1237,546
"656",339,1800,1609,1808,957
"657",676,199,1580,731,650
"658",10,1228,1268,1466,195
"659",1142,1510,699,368,1782
"660",1365,1996,1506,1945,1779
"661",1157,331,1674,19,241
"662",728,719,1854,1261,1367
"663",872,432,637,73,1173
"664",1200,991,1800,1183,148
"665",1491,1940,286,196,181
"666",1492,1204,1735,794,70
"667",226,1544,1019,67,1928
"668",527,762,1790,1560,8
"669",1567,1291,1882,1883,1052
"670",1396,966,886,1690,710
"671",480,209,881,1063,1877
"672",629,317,192,561,94
"673",972,1224,508,700,16
"674",88,180,1017,1880,390
"675",1526,670,22,551,646
"676",144,194,1660,1044,1310
"677",5,55,770,782,88
"678",210,1393,530,507,981
"679",1827,38,274,1297,1718
"680",682,1638,1536,1295,1196
"681",1137,619,1034,1309,913
"682",178,1158,1363,1281,1912
"683",1599,684,1907,1225,1744
"684",348,1720,496,815,139
"685",1548,1833,1796,996,1790
"686",139,36,1271,1846,1571
"687",1549,181,99,1683,871
"688",383,507,796,271,1097
"689",332,229,361,162,1220
"690",1772,332,168,821,734
"691",499,399,894,224,1625
"692",714,1871,1290,1791,1885
"693",876,359,990,841,1562
"694",990,942,278,1131,1756
"695",1758,1650,1063,1007,1706
"696",960,398,1915,1476,665
"697",1087,1723,1287,477,482
"698",1482,561,1126,752,1143
"699",1432,367,1190,347,429
"700",1666,1162,475,460,1383
"701",1123,1266,878,1838,1709
"702",194,191,1205,613,301
"703",1269,1059,771,1293,1539
"704",630,1294,1902,1318,284
"705",471,1779,1420,785,605
"706",636,950,1433,1153,530
"707",1237,1724,1468,1603,1382
"708",409,675,1073,201,902
"709",1880,1949,978,846,589
"710",369,276,507,1622,48
"711",1068,1072,1776,487,1639
"712",658,512,1033,353,179
"713",202,1043,1237,225,1891
"714",834,826,1529,1087,1359
"715",1853,277,1993,1702,762
"716",740,1215,1222,444,1675
"717",455,664,359,105,193
"718",552,1679,1352,824,1962
"719",993,468,835,1675,806
"720",796,1491,555,1584,1127
"721",1652,261,352,1427,1895
"722",1477,346,1135,128,973
"723",464,318,1458,1051,468
"724",1894,1307,1955,1042,55
"725",1124,1956,1549,462,374
"726",752,469,85,1773,894
"727",1912,354,453,1561,223
"728",1944,1693,387,665,1276
"729",524,1497,1481,1438,364
"730",331,1037,1526,1923,112
"731",448,136,329,658,585
"732",553,946,1802,735,1066
"733",312,30,431,1113,1855
"734",595,621,1057,624,238
"735",1742,1492,1837,204,775
"736",231,564,1691,1706,298
"737",861,1422,944,1074,1635
"738",333,948,327,1351,1516
"739",1308,707,1920,139,1573
"740",381,916,1680,906,465
"741",689,1453,1826,256,98
"742",541,372,1971,741,38
"743",1697,212,1466,755,1989
"744",709,655,1855,1600,951
"745",1625,834,738,1796,1334
"746",715,804,347,757,483
"747",273,246,974,398,1031
"748",166,1220,1946,98,1651
"749",808,1040,1173,594,1413
"750",1706,854,86,200,146
"751",1217,825,1751,1648,890
"752",589,980,126,1729,1636
"753",1342,200,1912,445,410
"754",267,904,854,1185,1543
"755",1928,1654,219,395,561
"756",691,1251,1611,1206,1780
"757",1788,598,1712,382,1807
"758",685,400,438,1597,580
"759",1529,1233,433,1500,1409
"760",1146,150,500,1273,1921
"761",875,98,301,362,662
"762",44,1874,472,1164,1695
"763",1678,287,1304,504,1251
"764",493,219,1806,586,1854
"765",1471,1980,686,560,1729
"766",206,1109,1029,80,306
"767",1546,1579,1081,627,1103
"768",845,1117,485,1656,526
"769",1695,1754,502,1251,1816
"770",653,125,1924,1830,946
"771",1378,552,109,1532,311
"772",501,1545,916,775,997
"773",429,1975,1851,56,456
"774",413,482,1088,1421,1674
"775",1736,1356,547,310,785
"776",261,1462,761,858,504
"777",1302,1801,1825,637,404
"778",321,137,88,966,160
"779",1114,232,757,1458,1125
"780",1422,19,589,1447,1395
"781",477,1929,1421,1423,1701
"782",656,1968,852,124,1115
"783",1553,772,823,164,1648
"784",625,540,287,397,1704
"785",1572,1986,793,393,974
"786",1082,96,244,1031,987
"787",681,763,138,1877,1719
"788",688,176,617,23,36
"789",614,226,1948,1127,196
"790",1755,297,1767,152,1876
"791",1997,1730,1521,1616,141
"792",769,1641,826,1783,1939
"793",1402,220,200,1414,829
"794",900,161,64,945,1349
"795",185,1311,970,1707,828
"796",1970,1892,263,10,75
"797",182,765,65,169,1265
"798",713,122,684,335,925
"799",1467,1460,904,1163,936
"800",1116,1538,1510,154,840
"801",323,1972,1221,891,1863
"802",1046,1606,620,422,1611
"803",1616,1449,1545,1157,1075
"804",183,501,1597,547,153
"805",1560,1670,815,1336,1831
"806",780,494,619,1826,1833
"807",1807,1173,324,301,1130
"808",792,5,1947,401,1814
"809",777,1912,1362,1976,1040
"810",1955,632,766,413,1884
"811",1000,448,1231,1709,69
"812",1252,1505,1540,65,557
"813",531,296,822,1646,790
"814",7,977,1845,45,760
"815",1454,1567,1175,861,171
"816",611,546,1736,893,1018
"817",423,1547,982,1840,1210
"818",1936,565,1777,496,271
"819",1916,1447,1198,1886,366
"820",1836,815,346,888,1183
"821",484,1789,708,187,1231
"822",209,584,848,1325,199
"823",98,1889,247,559,849
"824",40,1027,987,1080,435
"825",1771,1211,829,1727,104
"826",266,414,2000,138,288
"827",414,1835,600,1410,814
"828",293,1787,995,1510,1450
"829",798,426,275,1344,1019
"830",1339,1256,661,158,409
"831",731,269,805,1887,135
"832",800,1421,1931,629,1152
"833",509,1944,285,1240,225
"834",75,679,1226,1653,1784
"835",1054,1467,1900,1189,186
"836",820,1910,195,983,550
"837",1011,1742,1982,293,656
"838",620,1677,560,1663,657
"839",877,730,297,720,353
"840",858,1387,204,328,272
"841",1582,1217,1320,936,655
"842",38,431,1,1253,1248
"843",739,1870,476,1737,1301
"844",679,1328,1721,326,1073
"845",1596,1895,1792,372,920
"846",9,353,1137,1762,1495
"847",1838,1920,198,210,1312
"848",1992,42,1016,1766,1867
"849",534,67,675,933,1997
"850",451,1555,1813,1020,596
"851",853,866,31,41,1512
"852",1383,289,930,876,501
"853",146,437,418,1224,1811
"854",1584,1844,687,1708,1525
"855",1861,1823,227,166,626
"856",533,1409,1243,1601,1275
"857",573,1621,1966,1268,1850
"858",205,1273,1849,1760,1072
"859",1162,705,1261,973,1048
"860",1272,1396,1714,456,90
"861",221,286,855,1735,1861
"862",879,1095,1744,1650,1857
"863",1725,1074,1377,603,1351
"864",631,1661,1162,1095,1720
"865",1854,880,1405,719,1117
"866",1181,157,810,433,569
"867",602,1039,922,30,1556
"868",359,1577,1720,904,205
"869",668,1316,1615,1512,421
"870",1393,1378,781,833,177
"871",1405,1142,679,365,1823
"872",774,375,212,1023,1652
"873",1033,563,238,172,841
"874",225,256,636,1129,218
"875",1842,216,1886,1305,6
"876",248,1166,1053,1939,1417
"877",807,1617,1105,396,461
"878",288,955,1067,110,1071
"879",1685,439,1835,1617,1576
"880",794,701,1061,1953,1593
"881",60,118,1438,178,1037
"882",1760,751,183,1524,1587
"883",1180,1471,1187,1450,707
"884",868,1104,1969,37,255
"885",250,871,380,1845,33
"886",1825,110,1742,1801,1624
"887",1262,662,1596,743,1893
"888",309,689,1478,286,1067
"889",1400,311,258,928,1580
"890",1388,116,1633,975,534
"891",1770,703,1367,1513,610
"892",665,1593,889,1132,270
"893",1875,1320,1799,1715,1400
"894",1257,1458,311,1034,1577
"895",645,1848,1586,97,4
"896",897,1201,331,972,1240
"897",1810,1439,1165,1548,1331
"898",885,1578,202,1833,1523
"899",1265,62,958,75,1028
"900",824,1748,765,311,444
"901",998,1797,334,493,123
