"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5","final_design.6","final_design.7","final_design.8"
"1",46,98,49,17,24,22,18,88
"2",37,31,63,29,70,68,48,57
"3",74,39,19,57,73,47,68,89
"4",4,95,16,63,97,4,47,79
"5",86,68,42,40,7,36,26,77
"6",28,4,55,41,64,93,62,82
"7",34,51,71,22,84,80,75,97
"8",68,56,36,24,67,31,83,31
"9",39,1,86,19,43,61,90,7
"10",14,76,74,70,25,46,81,86
"11",61,5,37,5,20,74,23,16
"12",3,55,77,25,41,91,11,48
"13",53,71,95,1,65,56,5,21
"14",13,15,23,54,16,7,35,30
"15",80,77,57,45,85,95,21,32
"16",36,67,17,77,50,98,93,28
"17",91,21,8,30,26,71,99,35
"18",20,8,84,78,3,84,57,70
"19",48,49,34,83,91,82,55,25
"20",51,46,56,76,27,76,32,63
"21",29,36,33,59,19,27,91,72
"22",21,61,11,66,29,49,20,56
"23",12,100,70,86,83,44,25,27
"24",6,89,13,84,61,73,89,61
"25",82,53,3,72,22,12,13,12
"26",24,85,52,21,30,85,43,13
"27",98,28,31,95,54,42,72,17
"28",1,57,59,96,11,70,45,93
"29",56,30,53,71,99,35,77,50
"30",69,3,1,75,38,32,44,100
"31",75,22,67,13,89,5,28,19
"32",18,17,94,12,59,77,84,76
"33",5,32,89,8,28,20,67,26
"34",59,58,9,92,81,87,34,6
"35",90,48,54,11,52,48,16,4
"36",32,11,15,35,46,37,9,23
"37",52,78,30,42,4,17,95,3
"38",50,87,78,56,45,58,63,54
"39",78,40,40,85,42,6,49,55
"40",31,90,98,52,1,79,15,87
"41",67,99,7,49,53,69,29,49
"42",73,97,64,67,9,92,69,5
"43",30,38,88,43,88,38,42,47
"44",43,42,90,91,95,97,17,73
"45",81,19,82,87,15,67,79,98
"46",45,20,41,55,76,62,12,2
"47",58,65,69,9,17,54,51,81
"48",26,47,79,74,72,3,86,14
"49",66,72,58,15,48,9,71,68
"50",8,50,65,47,51,25,38,69
"51",95,93,38,36,44,88,87,92
"52",49,9,10,46,86,11,74,84
"53",10,25,51,2,6,96,96,53
"54",92,70,26,73,87,60,59,74
"55",9,69,100,88,35,34,60,1
"56",79,45,99,38,80,52,94,66
"57",94,88,50,79,69,21,41,22
"58",23,13,62,97,96,23,98,8
"59",77,82,85,99,74,64,37,40
"60",84,81,24,60,36,78,78,24
"61",40,43,25,7,34,2,1,96
"62",16,33,6,100,68,30,14,80
"63",96,37,73,48,23,99,52,9
"64",89,59,87,53,62,19,54,95
"65",87,10,72,61,66,81,19,44
"66",76,44,12,20,2,24,61,41
"67",41,83,5,33,13,43,56,65
"68",19,92,83,37,55,10,7,36
"69",42,18,68,65,58,16,58,33
"70",47,60,61,50,33,40,88,38
"71",99,64,96,28,18,1,76,51
"72",65,34,76,82,5,51,3,29
"73",71,29,28,44,14,86,6,60
"74",17,66,44,58,93,75,2,42
"75",64,16,45,26,94,41,36,94
"76",63,24,97,69,49,89,46,37
"77",88,6,47,90,10,13,85,46
"78",85,35,14,3,56,83,40,85
"79",54,27,80,32,37,14,24,75
"80",62,54,48,64,57,63,97,78
"81",97,86,20,18,100,66,10,71
"82",60,84,93,81,77,8,100,91
"83",55,14,21,98,31,94,66,67
"84",7,7,29,16,78,50,53,39
"85",72,79,66,93,40,39,8,83
"86",83,96,75,6,92,33,92,58
"87",27,52,18,14,8,59,39,34
"88",11,73,32,31,71,100,31,99
"89",35,63,27,89,63,18,22,52
"90",33,94,43,94,21,53,73,43
"91",2,26,4,51,90,55,82,11
"92",100,2,60,68,79,26,4,64
"93",25,23,35,80,47,57,27,90
"94",22,80,39,4,82,15,64,62
"95",44,75,2,10,75,90,80,45
"96",70,62,81,34,98,72,65,15
"97",38,74,91,62,12,29,30,18
"98",15,41,46,39,39,65,70,20
"99",93,12,92,23,32,45,33,59
"100",57,91,22,27,60,28,50,10
